Generating GeoG Vectors...
Generating GeoM Vectors...
[[0.         0.         0.         ... 0.         0.67357588 0.22071014]
 [0.         0.         0.         ... 0.         0.67565949 0.22399199]
 [0.         0.         0.         ... 0.00346021 0.67471639 0.2231651 ]
 ...
 [0.         0.         0.         ... 0.         0.67519486 0.22327095]
 [0.         0.         0.         ... 0.         0.67450625 0.22289945]
 [0.         0.         0.         ... 0.         0.67489246 0.22332472]]
120
k=2, mse=0.009234
k=3, mse=0.008943
k=4, mse=0.008538
k=5, mse=0.008309
k=6, mse=0.008069
k=7, mse=0.007830
k=8, mse=0.007649
k=9, mse=0.007492
k=10, mse=0.007260
k=11, mse=0.007026
k=12, mse=0.006825
k=13, mse=0.006366
k=14, mse=0.006197
k=15, mse=0.006342
k=16, mse=0.005921
k=17, mse=0.005700
k=18, mse=0.005584
k=19, mse=0.005381
k=20, mse=0.005219
k=21, mse=0.005099
k=22, mse=0.004866
k=23, mse=0.004789
k=24, mse=0.004668
k=25, mse=0.004514
k=26, mse=0.004360
k=27, mse=0.003998
k=28, mse=0.004043
k=29, mse=0.003978
k=30, mse=0.003802
k=31, mse=0.003746
k=32, mse=0.003443
k=33, mse=0.003463
k=34, mse=0.003242
k=35, mse=0.003172
k=36, mse=0.003156
k=37, mse=0.002964
k=38, mse=0.003064
k=39, mse=0.003002
k=40, mse=0.002756
k=41, mse=0.002711
k=42, mse=0.002610
k=43, mse=0.002470
k=44, mse=0.002508
k=45, mse=0.002430
k=46, mse=0.002284
k=47, mse=0.002241
k=48, mse=0.002045
k=49, mse=0.001967
k=50, mse=0.001981
k=51, mse=0.001990
k=52, mse=0.001911
k=53, mse=0.001794
k=54, mse=0.001818
k=55, mse=0.001685
k=56, mse=0.001678
k=57, mse=0.001642
k=58, mse=0.001657
k=59, mse=0.001582
k=60, mse=0.001486
k=61, mse=0.001563
k=62, mse=0.001412
k=63, mse=0.001414
k=64, mse=0.001376
k=65, mse=0.001399
k=66, mse=0.001304
k=67, mse=0.001326
k=68, mse=0.001297
k=69, mse=0.001343
k=70, mse=0.001246
k=71, mse=0.001195
k=72, mse=0.001186
k=73, mse=0.001205
k=74, mse=0.001125
k=75, mse=0.001214
k=76, mse=0.001086
k=77, mse=0.001054
k=78, mse=0.001068
k=79, mse=0.001001
k=80, mse=0.001014
k=81, mse=0.000959
k=82, mse=0.001004
k=83, mse=0.000990
k=84, mse=0.000975
k=85, mse=0.000853
k=86, mse=0.000934
k=87, mse=0.000838
k=88, mse=0.000825
k=89, mse=0.000819
k=90, mse=0.000821
k=91, mse=0.000784
k=92, mse=0.000786
k=93, mse=0.000737
k=94, mse=0.000693
k=95, mse=0.000723
k=96, mse=0.000684
k=97, mse=0.000712
k=98, mse=0.000648
k=99, mse=0.000663
k=100, mse=0.000662
k=101, mse=0.000623
k=102, mse=0.000632
k=103, mse=0.000630
k=104, mse=0.000600
k=105, mse=0.000594
k=106, mse=0.000559
k=107, mse=0.000597
k=108, mse=0.000567
k=109, mse=0.000565
k=110, mse=0.000550
k=111, mse=0.000523
k=112, mse=0.000514
k=113, mse=0.000524
k=114, mse=0.000480
k=115, mse=0.000499
k=116, mse=0.000488
k=117, mse=0.000479
k=118, mse=0.000502
k=119, mse=0.000459
