Generating GeoG Vectors...
Generating GeoM Vectors...
[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.00346021]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]
120
k=2, mse=0.010192
k=3, mse=0.009742
k=4, mse=0.009471
k=5, mse=0.009167
k=6, mse=0.008908
k=7, mse=0.008696
k=8, mse=0.008387
k=9, mse=0.008206
k=10, mse=0.007953
k=11, mse=0.007751
k=12, mse=0.007489
k=13, mse=0.007334
k=14, mse=0.006793
k=15, mse=0.006682
k=16, mse=0.006457
k=17, mse=0.006265
k=18, mse=0.006093
k=19, mse=0.005910
k=20, mse=0.005738
k=21, mse=0.005515
k=22, mse=0.005277
k=23, mse=0.005195
k=24, mse=0.005059
k=25, mse=0.004941
k=26, mse=0.004770
k=27, mse=0.004504
k=28, mse=0.004310
k=29, mse=0.004317
k=30, mse=0.004065
k=31, mse=0.003945
k=32, mse=0.003854
k=33, mse=0.003861
k=34, mse=0.003688
k=35, mse=0.003552
k=36, mse=0.003431
k=37, mse=0.003387
k=38, mse=0.003027
k=39, mse=0.003050
k=40, mse=0.002947
k=41, mse=0.002859
k=42, mse=0.002716
k=43, mse=0.002798
k=44, mse=0.002649
k=45, mse=0.002562
k=46, mse=0.002428
k=47, mse=0.002377
k=48, mse=0.002236
k=49, mse=0.002228
k=50, mse=0.002087
k=51, mse=0.002070
k=52, mse=0.002022
k=53, mse=0.001974
k=54, mse=0.001953
k=55, mse=0.001895
k=56, mse=0.001781
k=57, mse=0.001824
k=58, mse=0.001659
k=59, mse=0.001718
k=60, mse=0.001617
k=61, mse=0.001628
k=62, mse=0.001582
k=63, mse=0.001471
k=64, mse=0.001484
k=65, mse=0.001354
k=66, mse=0.001389
k=67, mse=0.001355
k=68, mse=0.001403
k=69, mse=0.001354
k=70, mse=0.001322
k=71, mse=0.001297
k=72, mse=0.001279
k=73, mse=0.001177
k=74, mse=0.001158
k=75, mse=0.001181
k=76, mse=0.001160
k=77, mse=0.001129
k=78, mse=0.001145
k=79, mse=0.001063
k=80, mse=0.001035
k=81, mse=0.001006
k=82, mse=0.001045
k=83, mse=0.000970
k=84, mse=0.000990
k=85, mse=0.000913
k=86, mse=0.000935
k=87, mse=0.000857
k=88, mse=0.000879
k=89, mse=0.000850
k=90, mse=0.000820
k=91, mse=0.000773
k=92, mse=0.000827
k=93, mse=0.000754
k=94, mse=0.000785
k=95, mse=0.000722
k=96, mse=0.000714
k=97, mse=0.000724
k=98, mse=0.000710
k=99, mse=0.000688
k=100, mse=0.000669
k=101, mse=0.000654
k=102, mse=0.000658
k=103, mse=0.000669
k=104, mse=0.000608
k=105, mse=0.000609
k=106, mse=0.000611
k=107, mse=0.000600
k=108, mse=0.000601
k=109, mse=0.000594
k=110, mse=0.000549
k=111, mse=0.000551
k=112, mse=0.000529
k=113, mse=0.000543
k=114, mse=0.000538
k=115, mse=0.000530
k=116, mse=0.000535
k=117, mse=0.000500
k=118, mse=0.000468
k=119, mse=0.000492
