Generating GeoG Vectors...
Generating GeoM Vectors...
[[0.67357588 0.22071014]
 [0.67565949 0.22399199]
 [0.67471639 0.2231651 ]
 ...
 [0.67519486 0.22327095]
 [0.67450625 0.22289945]
 [0.67489246 0.22332472]]
120
k=2, mse=0.000554
k=3, mse=0.000535
k=4, mse=0.000449
k=5, mse=0.000376
k=6, mse=0.000349
k=7, mse=0.000324
k=8, mse=0.000303
k=9, mse=0.000272
k=10, mse=0.000260
k=11, mse=0.000256
k=12, mse=0.000242
k=13, mse=0.000231
k=14, mse=0.000220
k=15, mse=0.000215
k=16, mse=0.000202
k=17, mse=0.000194
k=18, mse=0.000181
k=19, mse=0.000180
k=20, mse=0.000172
k=21, mse=0.000172
k=22, mse=0.000161
k=23, mse=0.000159
k=24, mse=0.000152
k=25, mse=0.000146
k=26, mse=0.000143
k=27, mse=0.000133
k=28, mse=0.000134
k=29, mse=0.000129
k=30, mse=0.000123
k=31, mse=0.000124
k=32, mse=0.000120
k=33, mse=0.000113
k=34, mse=0.000111
k=35, mse=0.000110
k=36, mse=0.000108
k=37, mse=0.000105
k=38, mse=0.000104
k=39, mse=0.000101
k=40, mse=0.000097
k=41, mse=0.000094
k=42, mse=0.000096
k=43, mse=0.000093
k=44, mse=0.000093
k=45, mse=0.000091
k=46, mse=0.000090
k=47, mse=0.000089
k=48, mse=0.000087
k=49, mse=0.000085
k=50, mse=0.000085
k=51, mse=0.000083
k=52, mse=0.000081
k=53, mse=0.000081
k=54, mse=0.000080
k=55, mse=0.000080
k=56, mse=0.000077
k=57, mse=0.000077
k=58, mse=0.000076
k=59, mse=0.000075
k=60, mse=0.000076
k=61, mse=0.000076
k=62, mse=0.000073
k=63, mse=0.000073
k=64, mse=0.000071
k=65, mse=0.000071
k=66, mse=0.000070
k=67, mse=0.000069
k=68, mse=0.000069
k=69, mse=0.000069
k=70, mse=0.000067
k=71, mse=0.000067
k=72, mse=0.000066
k=73, mse=0.000065
k=74, mse=0.000064
k=75, mse=0.000064
k=76, mse=0.000063
k=77, mse=0.000064
k=78, mse=0.000061
k=79, mse=0.000062
k=80, mse=0.000060
k=81, mse=0.000061
k=82, mse=0.000060
k=83, mse=0.000059
k=84, mse=0.000058
k=85, mse=0.000058
k=86, mse=0.000057
k=87, mse=0.000057
k=88, mse=0.000057
k=89, mse=0.000057
k=90, mse=0.000055
k=91, mse=0.000056
k=92, mse=0.000056
k=93, mse=0.000055
k=94, mse=0.000054
k=95, mse=0.000054
k=96, mse=0.000054
k=97, mse=0.000055
k=98, mse=0.000053
k=99, mse=0.000051
k=100, mse=0.000052
k=101, mse=0.000052
k=102, mse=0.000052
k=103, mse=0.000050
k=104, mse=0.000050
k=105, mse=0.000050
k=106, mse=0.000050
k=107, mse=0.000050
k=108, mse=0.000049
k=109, mse=0.000049
k=110, mse=0.000048
k=111, mse=0.000048
k=112, mse=0.000048
k=113, mse=0.000047
k=114, mse=0.000048
k=115, mse=0.000045
k=116, mse=0.000047
k=117, mse=0.000046
k=118, mse=0.000045
k=119, mse=0.000046
