[2018-12-14 22:41:58] [INFO] k:2; dataset:besttestdata3000; alg:spectral; distance_type:vec; runtime:8; rand:0.33299966633299966; sc:0.5205671823970526; mae:0.5980214881418078; size: [ 1500 500 ]
[2018-12-14 22:42:30] [INFO] k:2; dataset:besttestdata3000; alg:hierarchical; distance_type:vec; runtime:1; rand:0.33299966633299966; sc:0.5205671823970526; mae:0.5980214881418078; size: [ 1500 500 ]
[2018-12-14 22:43:05] [INFO] k:2; dataset:besttestdata3000; alg:covertree; distance_type:vec; runtime:4; rand:0.33299966633299966; sc:0.40892965455120844; mae:0.6662621374194113; size: [ 500 1500 ]
[2018-12-14 22:43:32] [INFO] k:3; dataset:besttestdata3000; alg:spectral; distance_type:vec; runtime:2; rand:0.5763251560427995; sc:0.6576862086948456; mae:0.379572672355126; size: [ 1094 500 406 ]
[2018-12-14 22:43:59] [INFO] k:3; dataset:besttestdata3000; alg:hierarchical; distance_type:vec; runtime:2; rand:0.5763251560427995; sc:0.6576862086948456; mae:0.379572672355126; size: [ 1094 500 406 ]
[2018-12-14 22:44:27] [INFO] k:3; dataset:besttestdata3000; alg:covertree; distance_type:vec; runtime:4; rand:0.7139791100300472; sc:0.6000390263952166; mae:0.4400353022392461; size: [ 500 500 1000 ]
[2018-12-14 22:44:51] [INFO] k:4; dataset:besttestdata3000; alg:spectral; distance_type:vec; runtime:2; rand:0.8933832476754385; sc:0.8337368023684234; mae:0.16343464964342452; size: [ 412 588 500 500 ]
[2018-12-14 22:45:14] [INFO] k:4; dataset:besttestdata3000; alg:hierarchical; distance_type:vec; runtime:2; rand:0.8869453001198857; sc:0.8344142420742308; mae:0.16277965605099742; size: [ 594 500 406 500 ]
[2018-12-14 22:45:39] [INFO] k:4; dataset:besttestdata3000; alg:covertree; distance_type:vec; runtime:4; rand:1.0; sc:0.8287543993885906; mae:0.16987941885804414; size: [ 500 500 500 500 ]
[2018-12-14 22:46:02] [INFO] k:5; dataset:besttestdata3000; alg:spectral; distance_type:vec; runtime:2; rand:0.8801599152281914; sc:0.8193094135928158; mae:0.11396004554907885; size: [ 500 415 395 190 500 ]
[2018-12-14 22:46:26] [INFO] k:5; dataset:besttestdata3000; alg:hierarchical; distance_type:vec; runtime:2; rand:0.9477036268375709; sc:0.8311273415122566; mae:0.11614011593847604; size: [ 500 500 406 500 94 ]
[2018-12-14 22:46:51] [INFO] k:5; dataset:besttestdata3000; alg:covertree; distance_type:vec; runtime:4; rand:0.9081942510412083; sc:0.8247066783416195; mae:0.11431659710848889; size: [ 452 147 500 401 500 ]
